Masked IDs,PC1,PC2,PC3,PC4,PC5
S00253,-0.123807,-0.0340329,-0.0129408,-0.072327,-0.106991
S00065,-0.122707,-0.0308281,0.0578695,-0.0953241,0.101988
S00364,-0.112779,-0.0143147,-0.0717659,0.0408424,0.00381809
S00034,-0.115185,-0.0181132,-0.137439,0.00345259,-0.0715691
S00088,-0.12471,-0.0352424,0.127601,-0.0151423,0.00785389
S00322,-0.0915209,-0.017928,0.00147534,-0.00945709,0.0164992
S00215,-0.126599,-0.0341624,0.199461,0.0327094,0.0169949
S00263,-0.123366,-0.0267726,-0.0422959,0.0261393,-0.0666067
S00330,-0.120116,-0.0297434,-0.0926158,-0.0769892,-0.0690536
S00325,-0.121004,-0.0244889,-0.0632162,-0.0580853,-0.0389334
S00048,-0.120027,-0.0302727,-0.114543,0.0174125,-0.111483
S00108,-0.126333,-0.036075,0.0935946,0.0425965,0.0890577
S00269,-0.107276,-0.0210871,0.027278,-0.0189026,0.0223086
S00022,-0.123513,-0.0334908,0.100734,-0.0410978,-0.0800094
S00225,-0.127302,-0.0400666,0.118383,-0.107076,0.0347771
S00018,-0.127499,-0.0337517,0.194137,-0.0374924,-0.0300817
S00261,-0.108456,-0.023732,-0.0424575,-0.0108611,0.105893
S00393,-0.121048,-0.0348686,-0.197165,-0.610164,0.633408
S00098,-0.123394,-0.0287813,-0.0252578,0.0331651,-0.107355
S00103,-0.131935,-0.03832,0.604694,0.0227841,0.0208254
