Masked IDs,PC1,PC2,PC3,PC4,PC5
S00260,0.0302215,-0.0249959,-0.00070501,0.00680905,-0.00814613
S00324,0.0243464,-0.0055862,0.00873018,0.00903578,-0.00834607
S00313,0.026559,-0.0263966,0.00549077,0.00600197,-0.00715159
S00157,0.0281734,-0.0353808,-0.0128792,-0.00354839,-0.00155907
S00197,0.0287463,-0.0263771,0.000205278,-0.0039614,0.0037673
S00113,0.0296,-0.0337448,-0.00120091,-0.00796883,0.00649792
S00271,0.0272462,-0.0429465,0.0071695,0.00724491,-0.001616
S00329,0.0293838,-0.0286608,-0.000195217,-0.00252752,-0.00835532
S00382,0.029057,-0.0239874,-0.00665423,-0.00325418,0.000540658
S00388,0.0303308,-0.0429723,-0.0128125,0.00292858,-0.0037401
S00245,0.0292005,-0.0170574,0.000767086,0.00475999,0.0059465
S00342,0.0281052,-0.013167,-0.00509886,0.0037664,0.00323303
S00413,0.0274589,-0.0230793,0.00161044,0.0022268,-0.00583364
S00072,0.0301108,-0.0311859,-0.00223091,-0.00678693,-0.0019745
S00385,0.0218755,-0.0167423,0.00365171,-0.00392665,-0.00629688
S00105,0.0253826,-0.0195356,-0.00131882,0.0104981,-0.00322792
S00228,0.028353,-0.0307148,0.000236006,0.00399338,-0.000334849
S00196,0.0268223,-0.0278057,0.00224127,0.00318492,0.000128517
S00091,0.0294624,-0.0202079,-0.00567608,-0.00402852,-0.00897229
S00208,0.029036,-0.0332329,0.00164762,-0.00638639,0.00441727
S00184,0.0275831,-0.0502362,-0.00330989,0.016392,0.00357255
S00270,0.0295899,-0.0328035,0.00231263,0.00699205,0.01223
S00229,0.027838,-0.0159561,0.0015637,0.000899785,-0.0128109
S00126,0.028132,-0.034927,0.00112377,0.011562,-0.0152169
S00185,0.026292,-0.00157091,-0.00133236,-0.0029756,0.00434478
S00050,0.0273516,-0.0281874,-0.00298868,0.00326683,0.00330727
S00301,0.0278701,-0.0347032,0.0010238,0.00573052,0.00149325
S00387,0.0276939,-0.0236528,-0.00150847,0.00830151,-0.00186263
S00290,0.0278038,-0.0179409,0.00125571,0.00419348,0.0038293
S00226,0.0289592,-0.0277947,0.00648273,-0.00885304,-0.00999235
S00062,0.0296677,-0.0288906,0.00269453,0.000574323,-0.00355826
S00273,0.0288265,-0.029983,4.82E-06,0.00366904,0.00710274
S00407,0.0304391,-0.0381396,-0.016936,-0.000255715,-0.00575759
S00377,0.0304579,-0.0260659,0.00554882,0.00584555,0.00536974
S00189,0.0277538,-0.0387196,0.0042762,-0.00673141,-0.0070491
S00047,0.0298689,-0.0344992,-0.00295316,0.00370191,0.000344265
S00028,0.0290906,-0.0326615,-0.00357043,0.000299492,-0.0121839
S00012,0.0299236,-0.0160814,0.00515088,0.00754967,0.0117741
S00217,0.0262338,-0.0237283,-0.00670902,-0.00356302,0.00460331
S00280,0.0276344,-0.0387639,-0.00169425,0.00451192,0.00537684
S00303,0.0287201,-0.0373747,-0.0017086,0.00403131,0.000193837
S00287,0.0258287,-0.0588271,0.00323185,-0.000605362,0.0172307
S00059,0.028844,-0.026881,0.00378746,0.00764525,-0.00944413
S00182,0.027376,-0.0368143,-0.00140223,-0.00901315,-0.00832811
S00298,0.0291463,-0.0278151,-0.000713878,-0.00133238,-0.00494284
S00109,0.0277592,-0.0211016,-0.000792103,-0.00182707,0.00421086
S00257,0.0240282,-0.0572276,-0.00114905,-0.00272852,0.00419912
S00192,0.0294844,-0.030595,-0.00660811,-0.00421512,0.00177473
S00213,0.0284716,-0.0224429,0.00458598,-0.00302605,0.0048891
S00396,0.0231914,-0.033576,0.00911337,-0.00346483,-0.00401674
S00347,0.0291309,-0.0364069,0.0012707,-0.0017548,-0.000665884
S00390,0.0274941,-0.0311663,0.000287625,0.00171385,-0.00158011
S00314,0.029814,-0.0239525,0.00333046,0.00330371,-0.0141966
S00235,0.029623,-0.0199601,-0.00508628,0.00918507,0.00566539
S00326,0.0262379,-0.0013354,-0.00345085,0.000554849,0.00404979
S00254,0.0259352,-0.0212835,-0.00256016,0.00537948,-0.00954317
S00019,0.0290937,-0.0122195,0.00106054,0.00810291,0.00171752
S00129,0.0297611,-0.0357455,0.00587331,0.0100997,0.0128769
S00195,0.0265086,-0.0203644,-0.00260029,0.00999688,0.00742802
S00315,0.0288336,-0.0239819,-0.00959085,0.00173765,-0.00624669
S00358,0.0247488,-0.0533988,0.000119844,0.0114585,-0.000221057
S00305,0.019126,-0.0554051,0.0105614,-0.000123214,-0.00269012
S00359,0.0296904,-0.0222204,0.00508529,-0.00378531,-0.0022215
S00010,0.029888,-0.0307112,0.00115777,0.00564517,-0.00962431
S00064,0.02862,-0.0346716,-0.00112562,0.00373932,-0.00894862
S00097,0.0277363,-0.0188586,0.00245477,0.00174094,-0.00263115
S00258,0.0303331,-0.0344223,9.68E-06,0.00233869,-0.00929046
S00148,0.0288787,-0.0318065,0.0130009,-0.00507494,-0.00557032
S00061,0.0309622,-0.0326521,0.0171922,0.00338432,-0.000352548
S00172,0.0282963,-0.0204556,0.000606256,-0.00246201,-0.00674419
S00285,0.0280229,-0.0333074,-0.0033651,0.00144761,-0.00396497
S00274,0.0274264,-0.0178829,-0.00347403,0.0101368,-0.000733924
S00237,0.0300054,-0.0257553,-0.00385773,-0.00872311,0.000704338
S00133,0.0294044,-0.0308601,0.000199956,0.000241003,-0.00136478
S00139,0.0305797,-0.0355939,0.000293811,-0.000633386,-0.00580565
S00136,0.0292037,-0.0379798,-0.0025142,-0.00353869,-0.00483771
