probe 8 masked,cg22650942
S00160,0.751001
S00079,0.696591
S00238,0.717929
S00389,0.727007
S00030,0.763039
S00124,0.790783
S00317,0.694786
S00231,0.70957
S00186,0.737945
S00327,0.724479
S00140,0.703792
S00331,0.716536
S00256,0.739405
S00132,0.72345
S00058,0.800304
S00066,0.725433
S00386,0.726311
S00336,0.738044
S00392,0.734212
S00281,0.723007
S00042,0.737254
S00083,0.727545
S00023,0.732111
S00187,0.768281
S00155,0.723689
S00174,0.704886
S00029,0.717799
S00193,0.716155
S00284,0.742436
S00337,0.721048
S00204,0.716819
S00159,0.732294
S00232,0.77547
S00118,0.760683
S00039,0.717971
S00200,0.72361
S00183,0.805607
S00307,0.750766
S00094,0.734181
S00143,0.710273
S00363,0.713569
S00024,0.739404
S00239,0.708152
S00411,0.703603
S00312,0.780382
S00026,0.736979
S00362,0.77022
S00188,0.69883
S00367,0.722901
S00341,0.692045
S00339,0.71264
S00161,0.767737
S00252,0.75127
S00348,0.781701
S00294,0.764743
S00031,0.740823
S00405,0.758853
S00156,0.776554
S00102,0.763309
S00323,0.732838
S00374,0.742031
S00191,0.713
S00243,0.745158
S00084,0.763919
S00371,0.7642
S00190,0.749292
S00049,0.774333
S00149,0.742666
S00249,0.73558
S00104,0.735224
S00077,0.71869
S00137,0.752341
S00353,0.74394
S00408,0.673681
S00402,0.767179
S00167,0.7684
S00319,0.744581
S00090,0.80436
S00086,0.744638
S00297,0.73919
S00027,0.780612
S00135,0.74906
S00015,0.762102
S00309,0.720643
S00332,0.768262
S00349,0.747635
S00111,0.740239
S00321,0.78727
S00070,0.726065
S00044,0.741121
S00002,0.754019
S00016,0.750145
S00142,0.726701
S00291,0.719132
S00311,0.704156
S00209,0.749242
S00001,0.708457
S00406,0.764982
S00409,0.787641
S00212,0.712338
S00320,0.742665
S00236,0.75661
S00328,0.766253
S00383,0.749275
S00375,0.78058
S00163,0.747135
S00350,0.745852
S00378,0.712349
S00248,0.740086
S00399,0.76923
S00224,0.749448
S00138,0.723026
S00316,0.752343
S00403,0.712469
S00009,0.720395
S00198,0.691025
S00063,0.71667
S00400,0.765687
S00395,0.748753
S00286,0.713173
S00203,0.744012
S00272,0.73117
S00354,0.772528
S00262,0.749474
S00398,0.713303
S00100,0.624329
S00052,0.70459
S00346,0.813043
S00179,0.746568
S00394,0.733817
S00080,0.735875
S00110,0.741691
S00074,0.735594
S00233,0.773753
S00176,0.773568
S00032,0.693415
S00121,0.749009
S00170,0.696717
S00106,0.732471
S00206,0.724013
S00351,0.740327
S00220,0.72241
S00014,0.784425
S00384,0.727419
S00171,0.773009
S00306,0.750636
S00344,0.731583
S00356,0.781691
S00033,0.739585
S00293,0.804771
S00266,0.756789
S00260,0.738766
S00324,0.740101
S00021,0.819724
S00117,0.754658
S00041,0.70745
S00313,0.722608
S00157,0.754881
S00296,0.773483
S00078,0.770344
S00234,0.797773
S00197,0.726931
S00113,0.772117
S00271,0.75893
S00329,0.711429
S00255,0.696802
S00382,0.79542
S00207,0.743824
S00242,0.731935
S00388,0.744367
S00361,0.737275
S00343,0.72392
S00245,0.771223
S00342,0.759156
S00165,0.736899
S00413,0.752503
S00089,0.75241
S00072,0.735269
S00068,0.73459
S00414,0.706771
S00385,0.742749
S00093,0.727525
S00105,0.724002
S00228,0.752156
S00196,0.768109
S00201,0.740876
S00091,0.744647
S00208,0.735418
S00184,0.751596
S00270,0.76741
S00229,0.779772
S00126,0.756429
S00185,0.714813
S00050,0.726977
S00240,0.712936
S00268,0.771264
S00301,0.770067
S00387,0.709324
S00173,0.735615
S00166,0.724822
S00265,0.720491
S00292,0.758689
S00290,0.744829
S00210,0.722168
S00308,0.743912
S00226,0.750837
S00062,0.733335
S00376,0.723436
S00273,0.723863
S00087,0.738824
S00407,0.723356
S00377,0.70076
S00381,0.75683
S00412,0.706473
S00189,0.747488
S00128,0.709989
S00345,0.741358
S00047,0.712167
S00120,0.747349
S00150,0.785785
S00071,0.733489
S00028,0.745979
S00279,0.76477
S00360,0.695789
S00012,0.734117
S00217,0.699749
S00211,0.692406
S00280,0.726289
S00303,0.758698
S00168,0.69826
S00199,0.73283
S00246,0.714648
S00125,0.683686
S00043,0.73682
S00287,0.731554
S00038,0.741435
S00013,0.73121
S00366,0.698818
S00059,0.73618
S00182,0.738503
S00298,0.717605
S00109,0.73403
S00257,0.710887
S00192,0.715643
S00277,0.716692
S00213,0.746202
S00011,0.754642
S00396,0.715761
S00347,0.719214
S00151,0.741423
S00005,0.703769
S00390,0.756951
S00379,0.720488
S00314,0.710624
S00235,0.731701
S00073,0.736424
S00326,0.777434
S00259,0.719399
S00254,0.713315
S00164,0.756004
S00019,0.767614
S00278,0.724882
S00253,0.724886
S00310,0.702431
S00129,0.753014
S00195,0.700232
S00315,0.781981
S00338,0.735572
S00358,0.741865
S00305,0.71419
S00065,0.755228
S00304,0.716716
S00003,0.805828
S00359,0.728865
S00010,0.799386
S00064,0.778852
S00364,0.765007
S00075,0.744799
S00131,0.772651
S00034,0.700598
S00097,0.76989
S00258,0.743229
S00369,0.734306
S00148,0.725536
S00267,0.724991
