Probe 1 masked,cg04692870
S00194,0.587773
S00169,0.544174
S00230,0.454364
S00008,0.565253
S00175,0.45832
S00069,0.590381
S00082,0.549014
S00007,0.536476
S00216,0.597925
S00130,0.553686
S00181,0.489913
S00076,0.547991
S00404,0.537731
S00037,0.642785
S00202,0.429596
S00152,0.513255
S00146,0.496981
S00275,0.584434
S00108,0.598159
S00127,0.569273
S00401,0.563885
S00269,0.530654
S00251,0.650628
S00115,0.559619
S00222,0.708506
S00244,0.648778
S00214,0.587043
S00022,0.685044
S00123,0.589199
S00225,0.506824
S00018,0.627684
S00020,0.503493
S00300,0.700889
S00276,0.637659
S00261,0.635476
S00056,0.621058
S00177,0.611999
S00122,0.593943
S00099,0.542637
S00055,0.502175
S00302,0.550842
S00334,0.735022
S00053,0.453858
S00006,0.501964
S00147,0.659353
S00085,0.522846
S00393,0.520922
S00096,0.564954
S00219,0.63159
S00370,0.512674
S00098,0.484343
S00046,0.540805
S00145,0.675587
S00154,0.702357
S00178,0.525996
S00335,0.533682
S00103,0.512108
S00373,0.543706
S00119,0.660294
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
