probe 4 masked,cg10840135
S00005,0.746775
S00118,0.740618
S00102,0.737213
S00413,0.688497
S00132,0.716627
S00007,0.714289
S00089,0.714441
S00104,0.732542
S00405,0.75678
S00339,0.720323
S00248,0.714366
S00027,0.718489
S00187,0.764836
S00166,0.687725
S00045,0.698271
S00315,0.744782
S00239,0.729992
S00331,0.671456
S00120,0.728105
S00155,0.74657
S00030,0.708567
S00172,0.710532
S00353,0.755221
S00128,0.712644
S00290,0.711786
S00363,0.683583
S00356,0.749209
S00197,0.731995
S00123,0.720472
S00186,0.721626
S00046,0.784866
S00334,0.667888
S00261,0.758819
S00238,0.738992
S00229,0.712402
S00048,0.719693
S00055,0.749274
S00006,0.739905
S00080,0.680135
S00107,0.744024
S00230,0.744781
S00096,0.744804
S00050,0.704205
S00316,0.682888
S00009,0.696586
S00314,0.706468
S00081,0.758816
S00306,0.727697
S00366,0.676256
S00372,0.724229
S00131,0.75001
S00374,0.699445
S00393,0.728867
S00263,0.776793
S00052,0.711646
S00185,0.713528
S00116,0.705116
S00404,0.711065
S00293,0.787966
S00206,0.689932
S00297,0.717374
S00002,0.714071
S00280,0.72174
S00246,0.761783
S00150,0.720584
S00143,0.71461
S00344,0.68657
S00180,0.691756
S00060,0.735429
S00073,0.71943
S00200,0.760885
S00341,0.679894
S00101,0.75035
S00203,0.730638
S00282,0.690701
S00144,0.726981
S00033,0.718148
S00202,0.764072
S00289,0.700185
S00145,0.720258
S00201,0.740805
S00090,0.772605
S00136,0.732868
S00378,0.702845
S00285,0.72741
S00189,0.714147
S00028,0.703308
S00175,0.783668
S00171,0.726629
S00272,0.71089
S00152,0.739592
S00389,0.70813
S00042,0.719243
S00066,0.713344
S00217,0.680273
S00149,0.697582
S00215,0.756631
S00020,0.716572
S00167,0.725801
S00333,0.730107
S00211,0.691637
S00024,0.753398
S00125,0.752647
S00234,0.764958
S00051,0.711469
S00214,0.715004
S00059,0.701919
S00383,0.713613
S00032,0.693571
S00302,0.757339
S00094,0.759899
S00067,0.747084
S00343,0.704432
S00127,0.72965
S00063,0.679102
S00205,0.730196
S00114,0.717361
S00301,0.738501
S00003,0.779005
S00364,0.703365
S00183,0.768371
S00026,0.743792
S00369,0.728134
S00029,0.692469
S00072,0.729224
S00319,0.694138
S00092,0.743304
S00336,0.705725
S00014,0.755182
S00292,0.746658
S00237,0.711698
S00256,0.716631
S00407,0.738002
S00387,0.704681
S00084,0.74133
S00117,0.75801
S00165,0.71985
S00398,0.733593
S00318,0.751266
S00397,0.719514
S00265,0.704126
S00146,0.740388
S00240,0.676414
S00359,0.715097
S00078,0.75097
S00283,0.731703
S00231,0.674464
S00384,0.709907
S00269,0.739647
S00147,0.777963
S00266,0.736597
S00141,0.803978
S00054,0.721848
S00077,0.710369
S00325,0.751835
S00130,0.723467
S00083,0.702968
S00320,0.725645
S00154,0.715851
S00245,0.720587
S00299,0.67162
S00194,0.758098
S00179,0.746615
S00349,0.732691
S00244,0.708456
S00370,0.755094
S00358,0.743191
S00351,0.734321
S00085,0.677798
S00395,0.727488
S00195,0.684921
S00335,0.764303
S00164,0.726992
S00309,0.725804
S00399,0.722773
S00210,0.742281
S00121,0.738041
S00153,0.730441
S00057,0.662766
S00226,0.726562
S00232,0.726933
S00212,0.711885
S00163,0.717305
S00134,0.68458
S00207,0.764921
S00037,0.708123
S00004,0.709865
S00348,0.754998
S00110,0.728234
S00360,0.703089
S00273,0.699161
S00276,0.711988
S00056,0.697808
S00287,0.7397
S00242,0.740907
S00352,0.733947
S00362,0.745116
S00208,0.706087
S00227,0.720045
S00361,0.751005
S00191,0.671273
S00204,0.697969
S00058,0.764453
S00209,0.71289
S00213,0.757074
S00262,0.73655
S00298,0.720309
S00277,0.712662
S00196,0.754142
S00158,0.716361
S00342,0.728841
S00012,0.708921
S00286,0.659169
S00010,0.74798
S00192,0.68912
S00281,0.714872
S00402,0.752807
S00133,0.676105
S00182,0.725683
S00053,0.748044
S00322,0.728654
S00254,0.705345
S00142,0.704989
S00305,0.696403
S00157,0.728711
S00233,0.703925
S00169,0.718565
S00112,0.751238
S00307,0.718708
S00375,0.761216
S00408,0.651896
S00264,0.713136
S00040,0.716636
S00199,0.718744
S00069,0.70824
S00181,0.72943
S00095,0.765783
S00064,0.737386
S00224,0.734853
S00278,0.688222
S00355,0.72857
S00105,0.733985
S00223,0.713547
S00379,0.729307
S00414,0.738671
S00079,0.655713
S00253,0.731898
S00122,0.729173
S00019,0.729656
S00151,0.726115
S00332,0.748607
S00403,0.730506
S00288,0.675152
S00135,0.694053
S00396,0.725611
S00106,0.754736
S00382,0.756855
S00126,0.739321
S00241,0.742347
S00168,0.707632
S00347,0.672499
S00271,0.727897
S00326,0.750859
S00380,0.738176
S00139,0.703664
S00308,0.717332
S00250,0.756901
S00184,0.730979
S00190,0.724344
S00108,0.736863
S00022,0.711094
S00388,0.72606
S00258,0.706954
S00243,0.708486
S00100,0.807668
S00391,0.702253
S00071,0.759594
S00311,0.691299
S00357,0.707147
S00327,0.705691
S00031,0.753413
S00412,0.748081
S00247,0.720687
S00394,0.671279
S00008,0.690279
S00065,0.740168
S00221,0.702967
S00074,0.718873
S00129,0.729816
S00159,0.749488
S00173,0.759665
S00329,0.731377
S00236,0.752327
S00174,0.710724
S00109,0.744547
S00049,0.693127
S00178,0.73098
S00016,0.716577
S00291,0.723057
S00303,0.755817
S00328,0.720558
S00034,0.6919
S00087,0.691338
S00381,0.764306
S00076,0.721403
S00267,0.734263
S00368,0.754667
S00260,0.68384
S00070,0.702902
S00376,0.719435
S00124,0.746304
S00313,0.707554
S00176,0.734371
S00249,0.75001
S00235,0.728852
S00021,0.768342
S00324,0.71518
S00023,0.736959
S00075,0.711139
S00350,0.746692
S00345,0.708747
S00330,0.690757
S00001,0.733711
S00304,0.701315
S00354,0.754666
S00259,0.685107
S00257,0.756673
S00321,0.703326
S00294,0.746862
S00068,0.737199
S00017,0.737696
S00340,0.751665
S00160,0.740097
S00103,0.709795
S00062,0.702622
S00219,0.694346
S00036,0.715673
S00371,0.736257
S00162,0.774067
S00385,0.752656
S00193,0.705602
S00296,0.699241
S00015,0.735353
S00367,0.701395
S00310,0.71513
S00312,0.729377
S00011,0.724716
S00225,0.718311
S00161,0.761701
S00222,0.691167
S00188,0.722132
S00137,0.732043
S00337,0.734492
S00295,0.759804
S00323,0.688136
S00177,0.692952
S00252,0.77412
S00140,0.739415
S00300,0.696733
S00115,0.737509
S00099,0.732417
S00113,0.716351
S00138,0.758694
S00410,0.716475
S00274,0.713181
S00365,0.702603
S00400,0.751243
S00091,0.709383
S00390,0.711191
S00338,0.734883
S00279,0.720275
S00039,0.686713
S00401,0.71143
S00268,0.741094
S00216,0.774448
S00148,0.726157
S00218,0.70994
S00409,0.701305
S00392,0.684727
S00025,0.772781
S00317,0.720397
S00275,0.732831
S00061,0.753628
S00041,0.738811
S00088,0.712986
S00255,0.680509
S00013,0.754628
S00346,0.776136
S00082,0.733136
S00044,0.713878
S00373,0.746525
S00038,0.700665
S00411,0.702095
S00198,0.64424
S00018,0.742317
S00111,0.721309
S00097,0.732661
S00270,0.726376
S00098,0.749136
S00086,0.744344
S00220,0.713641
S00228,0.702576
S00047,0.734509
S00043,0.695534
S00119,0.719888
S00377,0.753604
S00035,0.7422
S00156,0.732365
S00093,0.739138
S00386,0.697241
S00284,0.747347
S00406,0.752906
S00170,0.661996
S00251,0.711777
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
