probe 5 masked,cg15597984
S00005,0.737171
S00118,0.738184
S00102,0.744528
S00413,0.774133
S00132,0.715114
S00007,0.679299
S00089,0.808408
S00104,0.721352
S00405,0.760753
S00339,0.719055
S00248,0.712215
S00027,0.797409
S00187,0.725299
S00166,0.755306
S00045,0.717519
S00315,0.70789
S00239,0.702592
S00331,0.743276
S00120,0.706855
S00155,0.746025
S00030,0.792041
S00172,0.761554
S00353,0.764047
S00128,0.691464
S00290,0.701964
S00363,0.761936
S00356,0.773503
S00197,0.760983
S00123,0.717707
S00186,0.738188
S00046,0.787626
S00334,0.795705
S00261,0.722526
S00238,0.725179
S00229,0.725112
S00048,0.688048
S00055,0.728408
S00006,0.756839
S00080,0.758452
S00107,0.693738
S00230,0.733638
S00096,0.737024
S00050,0.764793
S00316,0.734861
S00009,0.798725
S00314,0.74187
S00081,0.712482
S00306,0.724428
S00366,0.739512
S00372,0.732556
S00131,0.707811
S00374,0.810118
S00393,0.68859
S00263,0.785357
S00052,0.733084
S00185,0.694399
S00116,0.760694
S00404,0.716162
S00293,0.805844
S00206,0.744191
S00297,0.738009
S00002,0.757145
S00280,0.676441
S00246,0.711607
S00150,0.696499
S00143,0.750686
S00344,0.730913
S00180,0.763722
S00060,0.799236
S00073,0.734717
S00200,0.723638
S00341,0.760575
S00101,0.728477
S00203,0.693671
S00282,0.747436
S00144,0.752457
S00033,0.745792
S00202,0.762775
S00289,0.72874
S00145,0.756149
S00201,0.724593
S00090,0.752199
S00136,0.770216
S00378,0.729115
S00285,0.693768
S00189,0.713036
S00028,0.800732
S00175,0.766647
S00171,0.777191
S00272,0.664024
S00152,0.7206
S00389,0.75995
S00042,0.77389
S00066,0.731453
S00217,0.738596
S00149,0.755634
S00215,0.73183
S00020,0.744987
S00167,0.778026
S00333,0.723007
S00211,0.721037
S00024,0.71012
S00125,0.756651
S00234,0.689566
S00051,0.769425
S00214,0.761514
S00059,0.748562
S00383,0.771746
S00032,0.733203
S00302,0.691063
S00094,0.74716
S00067,0.722473
S00343,0.724121
S00127,0.710037
S00063,0.730492
S00205,0.714381
S00114,0.703953
S00301,0.766722
S00003,0.818291
S00364,0.789721
S00183,0.71373
S00026,0.731254
S00369,0.700992
S00029,0.735676
S00072,0.745153
S00319,0.727207
S00092,0.726636
S00336,0.723624
S00014,0.799955
S00292,0.715173
S00237,0.707648
S00256,0.796545
S00407,0.715244
S00387,0.751898
S00084,0.7574
S00117,0.736913
S00165,0.755394
S00398,0.699134
S00318,0.729378
S00397,0.759695
S00265,0.733663
S00146,0.68203
S00240,0.785923
S00359,0.76285
S00078,0.667818
S00283,0.719471
S00231,0.755455
S00384,0.744394
S00269,0.707692
S00147,0.811816
S00266,0.75497
S00141,0.598719
S00054,0.74773
S00077,0.747389
S00325,0.748806
S00130,0.743848
S00083,0.735142
S00320,0.729559
S00154,0.773136
S00245,0.72057
S00299,0.752878
S00194,0.754284
S00179,0.705577
S00349,0.74684
S00244,0.773182
S00370,0.737172
S00358,0.755741
S00351,0.766473
S00085,0.745564
S00395,0.759804
S00195,0.711219
S00335,0.713825
S00164,0.739245
S00309,0.721473
S00399,0.787169
S00210,0.751722
S00121,0.722474
S00153,0.734003
S00057,0.727659
S00226,0.729897
S00232,0.764684
S00212,0.731681
S00163,0.775722
S00134,0.757736
S00207,0.681976
S00037,0.772438
S00004,0.723011
S00348,0.720808
S00110,0.754933
S00360,0.693065
S00273,0.764095
S00276,0.703284
S00056,0.766606
S00287,0.745345
S00242,0.698865
S00352,0.766157
S00362,0.765164
S00208,0.741537
S00227,0.716214
S00361,0.703425
S00191,0.743075
S00204,0.72677
S00058,0.75033
S00209,0.79428
S00213,0.7864
S00262,0.752141
S00298,0.722123
S00277,0.701588
S00196,0.758546
S00158,0.771434
S00342,0.74002
S00012,0.808665
S00286,0.707969
S00010,0.781818
S00192,0.753665
S00281,0.697365
S00402,0.680768
S00133,0.75581
S00182,0.786739
S00053,0.708831
S00322,0.724982
S00254,0.71044
S00142,0.726933
S00305,0.738486
S00157,0.78892
S00233,0.790301
S00169,0.726705
S00112,0.736536
S00307,0.730051
S00375,0.796631
S00408,0.741562
S00264,0.752223
S00040,0.761735
S00199,0.687906
S00069,0.745048
S00181,0.698368
S00095,0.795328
S00064,0.690243
S00224,0.747615
S00278,0.738734
S00355,0.726923
S00105,0.722687
S00223,0.757621
S00379,0.771245
S00414,0.699561
S00079,0.705791
S00253,0.71231
S00122,0.752898
S00019,0.792846
S00151,0.760465
S00332,0.746028
S00403,0.742854
S00288,0.73446
S00135,0.742989
S00396,0.780742
