Probe 2 masked,cg07016288
S00005,0.85282
S00118,0.852775
S00102,0.893356
S00413,0.836373
S00132,0.865116
S00007,0.84149
S00089,0.811917
S00104,0.838984
S00405,0.874453
S00339,0.870688
S00248,0.853818
S00027,0.897345
S00187,0.812017
S00166,0.834455
S00045,0.817766
S00315,0.87256
S00239,0.847052
S00331,0.869139
S00120,0.877485
S00155,0.826641
S00030,0.857116
S00172,0.829933
S00353,0.828137
S00128,0.820118
S00290,0.885985
S00363,0.794302
S00356,0.831514
S00197,0.78948
S00123,0.848246
S00186,0.87423
S00046,0.880963
S00334,0.84641
S00261,0.899925
S00238,0.840315
S00229,0.815218
S00048,0.847731
S00055,0.825211
S00006,0.785148
S00080,0.844837
S00107,0.846176
S00230,0.776162
S00096,0.835535
S00050,0.792277
S00316,0.882964
S00009,0.893498
S00314,0.839033
S00081,0.846298
S00306,0.859918
S00366,0.874503
S00372,0.839488
S00131,0.767986
S00374,0.871749
S00393,0.888048
S00263,0.877248
S00052,0.822487
S00185,0.839185
S00116,0.809582
S00404,0.857946
S00293,0.854462
S00206,0.844351
S00297,0.851132
S00002,0.857755
S00280,0.868845
S00246,0.86861
S00150,0.830428
S00143,0.860018
S00344,0.889687
S00180,0.860555
S00060,0.775666
S00073,0.875969
S00200,0.805356
S00341,0.871317
S00101,0.785351
S00203,0.854663
S00282,0.84529
S00144,0.887644
S00033,0.86321
S00202,0.806541
S00289,0.855463
S00145,0.867391
S00201,0.828115
S00090,0.782169
S00136,0.829722
S00378,0.85536
S00285,0.843486
S00189,0.824219
S00028,0.903192
S00175,0.821919
S00171,0.860618
S00272,0.827417
S00152,0.784738
S00389,0.840498
S00042,0.859278
S00066,0.909063
S00217,0.833561
S00149,0.821747
S00215,0.895478
S00020,0.812552
S00167,0.892901
S00333,0.861494
S00211,0.800316
S00024,0.868876
S00125,0.804123
S00234,0.89896
S00051,0.838866
S00214,0.847178
S00059,0.872035
S00383,0.882531
S00032,0.824114
S00302,0.86148
S00094,0.778033
S00067,0.801865
S00343,0.823652
S00127,0.793382
S00063,0.859795
S00205,0.841894
S00114,0.830486
S00301,0.813097
S00003,0.89244
S00364,0.812463
